id,price
100000,7438186.383082643
100001,7191963.558799005
100002,1243674.5976836483
100003,6175805.977951568
100004,6542449.884847328
100005,3785053.256126905
100006,976363.2211169831
100007,18589999.536755033
100008,1045916.4772066178
100009,6554167.768272546
100010,-54603.658920036985
100011,1093695.2833290454
100012,6824416.475986361
100013,6442606.857450401
100014,6657890.30242359
100015,7987014.3527578665
100016,8125424.819148843
100017,1675730.8603180032
100018,4926509.483651808
100019,7864944.225170033
100020,2335062.684626263
100021,3420343.394715238
100022,9876917.718083296
100023,1493102.6919499207
100024,4435137.633795247
100025,5946242.762406639
100026,2230737.021679737
100027,4467017.660490107
100028,1688168.4044234294
100029,2711405.2006637254
100030,8709700.054517565
100031,2345143.1788148615
100032,6638280.007274609
100033,6741641.648763101
100034,2316526.455714402
100035,5649053.615239844
100036,6406102.028832107
100037,3900709.7630221876
100038,3792182.4043799452
100039,6492501.584621787
100040,2800148.9218997136
100041,1361433.4440268083
100042,5344313.222140127
100043,3970979.901268214
100044,3064967.9850676833
100045,23286074.19329744
100046,2837636.6394232106
100047,3777144.844797377
100048,8152539.637087271
100049,4489433.125603278
100050,140925.98018497546
100051,2660282.370381643
100052,12202520.896667667
100053,2927224.785474522
100054,4893873.658063435
100055,2544063.7943513533
100056,12980414.012416152
100057,5811138.512817557
100058,4222912.940727261
100059,5600938.793513718
100060,4914034.765641633
100061,2702570.617587138
100062,4501100.579912188
100063,3217976.538065207
100064,11948324.293751994
100065,4906763.67213149
100066,3060430.791142768
100067,2029306.19563378
100068,5039549.3316065185
100069,2930788.0162348887
100070,2334509.680929762
100071,4670668.58165777
100072,9106849.163389381
100073,4089053.7757646535
100074,2215999.2011031783
100075,2144996.4465416404
100076,2594665.834123391
100077,7439340.680725559
100078,3915185.3251366215
100079,3198798.587720942
100080,5903354.740256678
100081,3911944.400449983
100082,1465947.593029652
100083,5933956.101696089
100084,6116021.959945147
100085,7621343.033239823
100086,3338308.4174220692
100087,4983946.079037981
100088,7769780.595309858
100089,3403514.2687924565
100090,5816032.821271464
100091,2783429.791661107
100092,1008289.7600736101
100093,10832677.115403503
100094,9855877.368081022
100095,3753910.4038430196
100096,2716774.126070583
100097,26067106.230892643
100098,2626247.0704479846
100099,5371308.564573618
100100,4371950.807509385
100101,8935329.215788193
100102,4909761.390830948
100103,3308235.6727095437
100104,4137931.819497863
100105,3727768.6258932035
100106,3170374.2818783224
100107,3403614.8002568292
100108,1235354.1395586939
100109,3857348.2062496315
100110,4586331.636579335
100111,3517054.686815821
100112,2614733.6265900717
100113,1727563.5000362627
100114,4301363.022101091
100115,3589837.286867851
100116,8432978.188837776
100117,9174796.229812872
100118,19272077.680335853
100119,3971188.2123085046
100120,9173393.415438127
100121,2320777.0887564723
100122,4513837.27909598
100123,5478051.964640504
100124,4445484.652109067
100125,12143102.35076816
100126,2143509.778357185
100127,4643990.29401261
100128,3952359.33748551
100129,2681102.8649686505
100130,5295813.722658576
100131,3818281.4953858936
100132,3296642.018758182
100133,2977343.18645599
100134,3186327.0767350406
100135,4190102.772121739
100136,1044831.6286238256
100137,2671347.333625892
100138,8870644.43159456
100139,4857245.9052739255
100140,5373930.173714131
100141,4041815.45466774
100142,8939708.855070233
100143,3412112.085399028
100144,4692864.408035996
100145,4214407.497267915
100146,14324022.506993743
100147,5238437.112203753
100148,9538003.932803249
100149,6276869.359703955
100150,2771400.131511869
100151,23225791.994404275
100152,18033473.843126863
100153,2640272.3642144613
100154,32462.78519986449
100155,2486719.3085318524
100156,2851925.9466504827
100157,4360703.397210715
100158,27434142.254885055
100159,1631441.9278053914
100160,3719744.264403949
100161,8343372.384300034
100162,5299575.41162451
100163,14918150.95115569
100164,4202589.561808917
100165,3066259.0188084473
100166,1723018.4140517903
100167,6908398.77236112
100168,3828834.329411093
